# name	slug   ("-" = sin mapear a propósito: promo, marca, basura)
Galletas	snacks-botanas-galletas
Accesorios para decoración de patio	jardin-exteriores
Accesorios para ducha	bano
Accesorios para el baño y la ducha	bano
Accesorios para el cabello	cuidado-del-cabello
Accesorios para electricidad	electricidad
Accesorios para Empaque	utiles-escolares-oficina
Accesorios para Encuadernacion	utiles-escolares-oficina
Accesorios para Focos	iluminacion
Accesorios para Hombre	accesorios-de-moda
Accesorios para iluminación	iluminacion
Accesorios para Inodoro	plomeria
Accesorios para Jardin	jardin-exteriores
Accesorios para la cocina	accesorios-para-cocina
Accesorios para Laptop	perifericos
Accesorios para Lavatrastos	plomeria
Accesorios para limpieza	utensilios-limpieza
Accesorios para Mangueras	jardin-exteriores
Accesorios para mascota	juguetes-accesorios-mascotas
Accesorios para mesa	accesorios-mesa-vajillas
Accesorios para Muebles	fijacion-herrajes
Accesorios para Mujer	accesorios-de-moda
Accesorios para Oficina	utiles-escolares-oficina
Accesorios para PC	perifericos
Accesorios para pintar	pintura-brochas
Accesorios para piscina	jardin-exteriores
Accesorios para proyectos	componentes-electronicos
Accesorios para Soldadura a Gas	soldadura
Accesorios para sujeción	fijacion-herrajes
Accesorios para Sujesion	fijacion-herrajes
Accesorios para tablet	tablets
Accesorios para Tablets	tablets
Accesorios para taladros y pulidoras	herramientas-electricas
Accesorios para Tuberia de Cobre	plomeria
Accesorios para Tuberias	plomeria
Accesorios para TV	tv-video
Accesorios para Vehículo	accesorios-cuidado-autos
Accesorios para vehículos	accesorios-cuidado-autos
Accesorios para Ventana	materiales-construccion
Accesorios para videojuegos	videojuegos
Accesorios Poliducto	plomeria
Accesorios Pvc y Cpvc	plomeria
Accesorios Relojes	relojes-y-joyeria
Accesorios Tecnologia	cables-adaptadores
Accesorios TV y Video	tv-video
Accesorios Usb	cables-adaptadores
Accesorios y básicos	-
Accesorios y herramientas	herramientas-manuales
Accesorios y Repuestos	-
Accesorios y sets de juego	juegos-imitacion
Accesorios y Soportes	tv-video
Accesrios para Inodoro	plomeria
Aceite de Canola	aceites-mantecas-aderezos
Aceite de Maíz	aceites-mantecas-aderezos
Aceite de Oliva	aceites-mantecas-aderezos
Aceite de Semillas y Vegetal	aceites-mantecas-aderezos
Aceite Lubricantes y Grasas	repuestos-y-mantenimiento
Aceite para Antorcha	soldadura
Aceite para Auto	repuestos-y-mantenimiento
Aceite Spray	aceites-mantecas-aderezos
Aceite,Lubricantes y Grasas	repuestos-y-mantenimiento
Aceites de cocina	aceites-mantecas-aderezos
ACEITES VINAGRES Y MANTECAS	aceites-mantecas-aderezos
Aceites y Mantecas	aceites-mantecas-aderezos
Aceites, harinas y condimentos	abarrotes
Aceites, lubricantes y limpiadores	repuestos-y-mantenimiento
Aceitunas	enlatados-conservas
Aceitunas enlatadas	enlatados-conservas
Acelga	verduras-hortalizas
Acné	cuidado-facial-corporal
Acondicionador	cuidado-del-cabello
Adaptadores de Audio	cables-adaptadores
Adaptadores de Celular	accesorios-celular
Adaptadores de energía	cables-adaptadores
Adaptadores de red	redes
Adaptadores de voltaje y fuentes de poder	cables-adaptadores
Adaptadores para Audio y Video	cables-adaptadores
Adaptadores para disco duro	almacenamiento-datos
Adaptadores para Red	redes
Adaptadores y Adaptadores de Video (RF	cables-adaptadores
Adaptadores y Convertidores de Video	cables-adaptadores
Adaptadores y Convertidores de Video (RF RCA HDMI VGA)	cables-adaptadores
Aderezos para ensalada	aceites-mantecas-aderezos
Aderezos y salsas de cocina	aceites-mantecas-aderezos
Aderezos y Vinagretas	aceites-mantecas-aderezos
Adhesivos	utiles-escolares-oficina
Adhesivos y pegamentos	utiles-escolares-oficina
adidas Mundial	ropa-deportiva
Aditivo para Concreto	materiales-construccion
Aditivos para Piscina	jardin-exteriores
Adornos	decoracion-muebles
Adornos Navidad	navidad
Adornos navideños	navidad
Adornos para Jardin	jardin-exteriores
Afeitado	afeitado-depilacion
Afeitadoras	cuidado-personal-electrico
Agendas	cuadernos-libretas-hojas
Agendas escolares	cuadernos-libretas-hojas
Agendas Planificador	cuadernos-libretas-hojas
Agendas-Planificador	cuadernos-libretas-hojas
Agua	aguas-purificadas-saborizadas
Agua Natural	aguas-purificadas-saborizadas
Agua Saborizada	aguas-purificadas-saborizadas
Aguacates	frutas-frescas
Aire Acondicionado	climatizacion
Aire portátil	climatizacion
Aires acondicionados	climatizacion
Aires acondicionados y calefactores	climatizacion
Aires Acondicionados y Ventiladores	climatizacion
Aislantes	electricidad
Aislantes Termicos	materiales-construccion
Ajos	verduras-hortalizas
Alambres y Mallas	materiales-construccion
Alámbricos In Ear	audio
Alámbricos On Ear	audio
Alámbricos Over Ear	audio
Alarmas y sensores	seguridad-vigilancia
Alarmas y Sirenas	seguridad-vigilancia
Alas, piernas y muslos	pollo-y-aves
Album Mundial	coleccionables-tcg
Albumes	coleccionables-tcg
Alcalinas	electricidad
Alcohol y Antisépticos	primeros-auxilios
Alergias y Sistema respiratorio	gripe-tos-resfriado
Alfombras	decoracion-muebles
Alfombras de descanso	decoracion-muebles
Alfombras y revestimientos	decoracion-muebles
Alfombras y tapetes	decoracion-muebles
Alfombritas para la entrada al hogar	decoracion-muebles
Algodón e Hisopos	jabones-geles-bano
Algodones	jabones-geles-bano
Alimentación y lactancia	alimentacion-infantil-formulas
Alimento	-
Alimento Húmedo Gato	alimento-para-gatos
Alimento Húmedo Perro	alimento-para-perros
Alimento para aves	otras-mascotas
Alimento para bebé	alimentacion-infantil-formulas
Alimento para conejos	otras-mascotas
Alimento Seco Gato	alimento-para-gatos
Alimento Seco Perro	alimento-para-perros
Alimento tortugas	otras-mascotas
Alimento y golosinas para gatos	alimento-para-gatos
Alimento y golosinas para perros	alimento-para-perros
Alimentos	abarrotes
Alimentos Congelados	congelados
Alimentos Instantáneos	comidas-preparadas
Alimentos para mascotas	-
Alivio del dolor	analgesicos-antiinflamatorios
Almacenamiento	organizacion-almacenamiento
Almacenamiento de alimento para mascotas	juguetes-accesorios-mascotas
Almacenamiento de Datos	almacenamiento-datos
Almacenamiento de herramientas	almacenamiento-taller
Almacenamiento para oficina	archivo
Almacenamiento y archivo	archivo
Almohadas	camas-colchones-blancos
Almohadas y cojines	camas-colchones-blancos
Ambiente- Lluvias	-
Amd	componentes-pc
Amplificadores	audio
Amplificadores de Audio	audio
Amplificadores y altavoces	audio
Amplificadores y Selectores de Video	cables-adaptadores
Anafres y Accesorios	accesorios-para-cocina
Anclajes y Fijaciones	fijacion-herrajes
Android	telefonos-celulares
Anemia	medicamentos
Ángulos y Accesorios	materiales-construccion
Anillos Block	cuadernos-libretas-hojas
Animación	munecas-figuras-vehiculos
Animales de juguete	munecas-figuras-vehiculos
Antenas	radios-comunicacion
Antenas para TV	tv-video
Antiacidos	salud-digestiva
Antiacné	cuidado-facial-corporal
Antibióticos	medicamentos
Antibióticos y Antiinfecciosos	medicamentos
Anticonceptivos	salud-sexual
Antidiarreicos y Suero Oral	salud-digestiva
Antihongos	medicamentos
Antiinfecciosos	medicamentos
Antioxidante	vitaminas-suplementos
Antioxidantes	vitaminas-suplementos
Antiparasitario	medicamentos
Antisépticos	primeros-auxilios
Antivirales	medicamentos
Antivirus	software
Antorchas	soldadura
Apaga Fuego	seguridad-industrial
Aperitivos congelados	congelados
Apio	verduras-hortalizas
Aplicadores	pintura-brochas
Apósitos y gasas	primeros-auxilios
Apple	telefonos-celulares
Aprendizaje	juguetes-educativos
Apresto	detergentes-suavizantes
Arandelas y tuercas	fijacion-herrajes
Árboles Navidad	navidad
Árboles navideños	navidad
Architecture	bloques-construccion
Archivadores	archivo
Archivadores y carpetas	archivo
Archivadores, Tableros, Sobres	archivo
Arena Gato	alimento-para-gatos
Argollas, Ganchos y Percheros	fijacion-herrajes
Aromatizante ambiental	insecticidas-ambientadores
Aromatizante de baño	insecticidas-ambientadores
Aromatizantes	insecticidas-ambientadores
Aros de basquetball	disciplinas-deportivas
Arrancadores y cargadores de batería	repuestos-y-mantenimiento
Arroceras	electrodomesticos-cocina
Arroz	arroz-frijoles-semillas
Arroz, Frijol y Semillas	arroz-frijoles-semillas
Artbooks	libros
Arte Dibujo	arte-manualidades
Arte y diseño	arte-manualidades
Arte y Manualidades	arte-manualidades
Arte, manualidades y creatividad	arte-manualidades
Arte/Dibujo	arte-manualidades
Artesanales e Importadas	cervezas
Artículo promocional	articulos-promocionales-e-impulso
ARTICULOS DE ALUMINIO	accesorios-para-cocina
Articulos de baño	bano
Articulos de Carpinteria	herramientas-manuales
Artículos de cocina	accesorios-para-cocina
Artículos de decoración	decoracion-muebles
Artículos de hogar	-
Artículos de Jardinería	jardin-exteriores
Articulos de Limpieza	utensilios-limpieza
Articulos de Medicion	medicion
Artículos de Navidad	navidad
Artículos de oficina	utiles-escolares-oficina
Artículos de temporada	de-temporada
Articulos de Trazado	medicion
Artículos deportivos	-
ARTICULOS DESECHABLES	desechables
Artículos escolares	utiles-escolares-oficina
Artículos ferreteros	-
Articulos Fijacion	fijacion-herrajes
Articulos navideños	navidad
Artículos para arte	arte-manualidades
Artículos para bebe	-
Artículos para Bebé	-
Articulos para Dibujar	arte-manualidades
Artículos para el hogar	-
Articulos para encuadernar	utiles-escolares-oficina
Articulos para escritorio	utiles-escolares-oficina
Articulos para Fiesta	fiestas
Artículos para fiesta	fiestas
Artículos para Fijación	fijacion-herrajes
Articulos Para Manualidades	arte-manualidades
Artículos para Mascotas	juguetes-accesorios-mascotas
Articulos para Medicion	medicion
Articulos para Piscinas	jardin-exteriores
Artículos para rotulación	rotulacion-y-exhibicion
Articulos para Rotular	rotulacion-y-exhibicion
Arvejas	verduras-hortalizas
Asadores	jardin-exteriores
ASEO COCINA	lavaplatos-desengrasantes
ASEO HOGAR	limpiadores-desinfectantes
Asientos para bebé	puericultura-coches-sillas
Asistencias	-
Asistentes de voz	hogar-inteligente
Asma	gripe-tos-resfriado
Aspiradora	aspiradoras
Aspiradoras	aspiradoras
Aspiradoras secas y húmedas	aspiradoras
Aspiradoras y Accesorios	aspiradoras
Aspiradoras y cuidado de pisos	aspiradoras
Atache,Clip,Fasteners, Chinche	utiles-escolares-oficina
Ataduras de trinquetes	fijacion-herrajes
Aticulos de decoración	decoracion-muebles
Aticulos para bar	accesorios-para-cocina
Atlas Mapas	libros
Atlas y Mapas	libros
Atún y Pescado	pescados-mariscos
Audifonos	audio
Audífonos alámbricos	audio
Audífonos Bluetooth	audio
Audífonos BTS	audio
Audífonos gaming	audio
Audífonos inalámbricos	audio
Audio	audio
Audio para auto	audio-auto
Audio para Vehiculos	audio-auto
Audio Video	tv-video
Audio y Video	tv-video
Aumentar Defensas	vitaminas-suplementos
Auriculares para teléfono	audio
Auriculares y altavoces portátiles	audio
AURITIENDA	-
Automatización	hogar-inteligente
Automotriz	-
Autos	munecas-figuras-vehiculos
Auxiliar 3.5mm	cables-adaptadores
Avena y Granola	cereales-avenas-barras
Aves	otras-mascotas
Azafates/fuentes/bandejas	accesorios-mesa-vajillas
Azúcar	azucar-endulzantes-especias
Azúcar y endulzantes	azucar-endulzantes-especias
Azúcar y Postres	azucar-endulzantes-especias
Azulejo	materiales-construccion
Back to School	-
Back to School Agosto	-
BACON	embutidos-jamones
Bafles	audio
Bagels	panaderia-reposteria
Balanzas	accesorios-para-cocina
Balanzas y tallímetros	equipo-medico
Balones	disciplinas-deportivas
Balones y Entrenamiento	disciplinas-deportivas
Bananos	frutas-frescas
Bananos, Papayas y tropicales	frutas-frescas
Bancas	muebles
Bancos	muebles
Bancos para bar	muebles
Banda de Lona	accesorios-fitness-y-ejercicio
Bandas de Actividad	bandas-actividad-y-smartwatches
Bandas y Correas	maquinaria
Bandejas para fiestas	fiestas
Bañeras	cuidado-higiene-bebe
Baño	bano
Baño y cuidado	cuidado-higiene-bebe
Baño y cuidado del bebé	cuidado-higiene-bebe
Baño y Plomería	plomeria
Banquetas y Asientos	muebles
Barbies	munecas-figuras-vehiculos
Barquillos y Conos	congelados
Barra Adhesiva	utiles-escolares-oficina
Barras de Bronce	plomeria
Barras de Cereal	cereales-avenas-barras
Barras de Nylon y Teflon	materiales-construccion
Barras de sonido	audio
Barras de Sonido y Teatro en Casa	audio
Barras y Cinceles	herramientas-manuales
Barritas	dulces-chocolates
Basculas Comerciales	punto-de-venta
Básculas Digitales	accesorios-para-cocina
Base para Contador y Aisladores	electricidad
Básicos	-
Básicos de algodón	basicos-y-algodon
Bastones y muletas	equipo-medico
Basureros y papeleras	utensilios-limpieza
Baterías	electricidad
Baterías Alcalinas	electricidad
Baterías para auto	repuestos-y-mantenimiento
Baterías para automóvil	repuestos-y-mantenimiento
Baterías para Teléfono inalámbrico	radios-comunicacion
Baterias Portatiles	accesorios-celular
Baterías selladas de Ácido-Plomo	energia-respaldo
Baterias y Arrancadores	repuestos-y-mantenimiento
Batidoras	electrodomesticos-cocina
Bebé	-
Bebederos y Comederos	juguetes-accesorios-mascotas
Bebes y Niños	-
Bebes y preescolar	juguetes-bebes-estimulacion
Bebida de Almendra	leche-liquida-polvo
Bebidas	jugos-y-bebidas
BEBIDAS ALCOHOLICAS	cervezas-vinos-licores
Bebidas deportivas	bebidas-energeticas-isotonicas
Bebidas en Polvo	gaseosas-refrescos
Bebidas energéticas	bebidas-energeticas-isotonicas
BEBIDAS HIDRATANTES	bebidas-energeticas-isotonicas
Bebidas No Alcoholicas	jugos-y-bebidas
Bebidas sin alcohol	jugos-y-bebidas
Belleza	-
Belleza y cuidado personal	-
Berenjena	verduras-hortalizas
Biberones y tetinas	biberones-chupones-accesorios
Bicicletas	ciclismo-y-bicicletas
Bicicletas adultos	ciclismo-y-bicicletas
Bicicletas fijas	maquinas-cardio-gimnasio
Bicicletas infantiles	juguetes-exterior-aire-libre
Bicicletas niños	juguetes-exterior-aire-libre
Bicicletas para adultos	ciclismo-y-bicicletas
Bienestar y estética	cuidado-personal-electrico
Billar	disciplinas-deportivas
Binders	archivo
Bisagras	fijacion-herrajes
BLACKCYBER	-
Blanco	-
Blocks de escritura	cuadernos-libretas-hojas
Blocks y libretas	cuadernos-libretas-hojas
Blog	-
Bloqueadores y bronceadores	cuidado-facial-corporal
Bloques	bloques-construccion
Bloques de ensamble	bloques-construccion
Bloques y construcción	bloques-construccion
Bluetooth	audio
Bluetooth In Ear	audio
Bluetooth On Ear	audio
Bluetooth Open Ear	audio
Bluetooth Over Ear	audio
Bocadillos de frutas	dulces-chocolates
Bocadillos y Empanadas	congelados
Bocinas amplificadas	audio
Bocinas Bluetooth	audio
Bodega Fiscal	-
Bolas y pelotas	disciplinas-deportivas
Boligrafos	escritura-correccion
Bollos y Hot Dog	panaderia-reposteria
Bolsas para Accesorios	organizacion-almacenamiento
BOLSAS PARA ALIMENTOS	desechables
Bolsas para árboles navideños	navidad
Bolsas para Basura	utensilios-limpieza
Bolsas para Cocina	desechables
Bolsas para la basura	utensilios-limpieza
Bolsas reutilizables	organizacion-almacenamiento
Bolsos deportivos	bolsos-deportivos-y-maletines
Bombas para Agua	maquinaria
Bombas para Fumigar	jardin-exteriores
Bombas para Inflar	ciclismo-y-bicicletas
Bombas para Trasegar	maquinaria
Bombillas	iluminacion
Bombillos	iluminacion
Bombones	dulces-chocolates
Boquillas de manguera	jardin-exteriores
Borradores	escritura-correccion
Borradores y correctores	escritura-correccion
BOTES Y ENLATADOS	enlatados-conservas
Botiquines	primeros-auxilios
Boxeo	disciplinas-deportivas
Brandy	ron-tequila-aguardiente
Brocas	herramientas-electricas
Brochas y Pinceles	pintura-brochas
Budines	panaderia-reposteria
Buzzers (Zumbadores)	componentes-electronicos
Cable Electrico	electricidad
Cable para Audio y Video	cables-adaptadores
Cable para Redes	redes
Cableado Estructurado	redes
Cables	cables-adaptadores
Cables Coaxiales (por metro)	cables-adaptadores
Cables de Alimentación (De Poder)	cables-adaptadores
Cables de Audio	cables-adaptadores
Cables de Audio (por metro)	cables-adaptadores
Cables de audio y video	cables-adaptadores
Cables de extensión	electricidad
Cables de red	redes
Cables de Red (por metro)	redes
Cables HDMI	cables-adaptadores
Cables HDMI y de Video	cables-adaptadores
Cables Multiconductor (por metro)	electricidad
Cables para Celular y Tablet	accesorios-celular
Cables Telefónicos	redes
Cables Telefónicos (por metro)	redes
Cables Usb	cables-adaptadores
Cables USB para datos y	cables-adaptadores
Cables VGA	cables-adaptadores
Cables y Accesorios para CCTV	seguridad-vigilancia
Cables y adaptadores	cables-adaptadores
Cables y adaptadores para Celular y Tablet	accesorios-celular
Cables, Adaptadores y Cargadores	accesorios-celular
Cadenas, Lasos y Cordeles	fijacion-herrajes
Café	cafe-te-modificadores
Café en grano	cafe-te-modificadores
Café listo para beber	te-frio-bebidas-preparadas
Café Molido	cafe-te-modificadores
Café y té	cafe-te-modificadores
Café y Te preparado	te-frio-bebidas-preparadas
Café, Té y Sustitutos	cafe-te-modificadores
Cafeteras	electrodomesticos-cocina
Cafeteras y Jarras Eléctricas	electrodomesticos-cocina
Caja de seguridad	seguridad-vigilancia
Cajas de almacenamiento	organizacion-almacenamiento
Cajas de seguridad	seguridad-vigilancia
Cajas de Seguridad (Cajas Fuerte)	seguridad-vigilancia
Cajas para archivo	archivo
Cajas plásticas	organizacion-almacenamiento
Cajas y Bolsas de Valores	punto-de-venta
Cajas y Contenedores	organizacion-almacenamiento
Cajas y Organizadores	organizacion-almacenamiento
Cajas y Tapas	electricidad
Cajeta y Dulce de Leche	harinas-mezclas-reposteria
Calcio y Minerales	vitaminas-suplementos
Calcomanías y etiquetas	utiles-escolares-oficina
Calculadora Escolar	utiles-escolares-oficina
Calculadoras	utiles-escolares-oficina
Calculadoras básica	utiles-escolares-oficina
Calculadoras con impresión	utiles-escolares-oficina
Calculadoras Escritorio	utiles-escolares-oficina
Calculadoras para estudiantes	utiles-escolares-oficina
Calculadoras y oficina	utiles-escolares-oficina
Calculadoras y registradoras	punto-de-venta
Calentadores	climatizacion
Calentadores de Comida No Electricos	accesorios-para-cocina
Calzado de Seguridad	seguridad-industrial
Calzado deportivo	tenis-y-deportivo
Calzado Everlast	tenis-y-deportivo
Cámara de seguridad	seguridad-vigilancia
Cámara web	perifericos
Cámaras	camaras-drones
Cámaras CCTV	seguridad-vigilancia
Cámaras de acción	camaras-drones
Cámaras de Seguridad	seguridad-vigilancia
Cámaras de Seguridad WiFi	seguridad-vigilancia
Cámaras de Video	camaras-drones
Cámaras de vigilancia	seguridad-vigilancia
Cámaras deportivas y accesorios	camaras-drones
Cámaras digitales	camaras-drones
Cámaras Semiprofesionales	camaras-drones
Camaras y Drones	camaras-drones
Camarones y mariscos	pescados-mariscos
Camas	muebles
Camas para mascotas	juguetes-accesorios-mascotas
Camas para perros	juguetes-accesorios-mascotas
Camas y colchones	camas-colchones-blancos
Camillas y bancos para masajes	equipo-medico
Caminadoras	maquinas-cardio-gimnasio
Camisa para Mujer	ropa-femenina
Camisas para hombres	ropa-masculina
Camisetas desmangadas para mujeres	ropa-femenina
Camisetas para hombres	ropa-masculina
Camisetas para Mujeres	ropa-femenina
Camisetas para niños y niñas	ropa-infantil
camisetas-futbol	ropa-deportiva
Campanas de extracción	estufas-hornos
Campismo	camping
Canales y Accesorios	materiales-construccion
Canaletas	electricidad
Canaletas y Accesorios	electricidad
Canastas	organizacion-almacenamiento
Canastas y Basureros	utensilios-limpieza
Canastas y bolsas para lavandería	detergentes-suavizantes
Candados	fijacion-herrajes
Candados y Cerraduras	fijacion-herrajes
Canteadora y Cepilladora	herramientas-electricas
Canvas y lienzos	arte-manualidades
Capacitores	componentes-electronicos
Captura	camaras-drones
Capturadoras de Video	camaras-drones
Caramelos	dulces-chocolates
CARBONATADOS	gaseosas-refrescos
Cardiovascular	medicamentos
Carga Rápida	accesorios-celular
Cargadores	accesorios-celular
Cargadores de dispositivos portátiles	accesorios-celular
Cargadores de Pared	accesorios-celular
Cargadores Inalámbricos	accesorios-celular
Cargadores para Auto	audio-auto
Cargadores USB	accesorios-celular
Cargadores USB para auto	audio-auto
Cargadores y baterías portátiles	accesorios-celular
Cargadores y Cables	accesorios-celular
Cargadores y Cables Smartwatch	bandas-actividad-y-smartwatches
Cargadores y Power Banks	accesorios-celular
Carne	carnes-pescados-embutidos
Carne enlatada	enlatados-conservas
Carnes	carnes-pescados-embutidos
Carnes Enlatadas	enlatados-conservas
Carnes y Mariscos	carnes-pescados-embutidos
Carnes, Embutidos y Mariscos	carnes-pescados-embutidos
Carpas	camping
Carpas, Toldos y Lonas	jardin-exteriores
Carpeta escolar	archivo
Carpintería y construcción	herramientas-manuales
Carretas y Trocos	almacenamiento-taller
Carretas, Trocos y Transpaletas	almacenamiento-taller
Carritos	munecas-figuras-vehiculos
Carritos y camiones	munecas-figuras-vehiculos
Carros	munecas-figuras-vehiculos
Carros de asador	jardin-exteriores
Carteras y bolsos	bolsos-mochilas-y-billeteras
Cartulina	cuadernos-libretas-hojas
Cartulina block arte y diseño	arte-manualidades
Cartulina Fluorescente	cuadernos-libretas-hojas
Cartulina Iris	cuadernos-libretas-hojas
Cartulina Lino	cuadernos-libretas-hojas
Cartulina Lustre	cuadernos-libretas-hojas
Cartulina metalizada	cuadernos-libretas-hojas
Cartulina Opalina	cuadernos-libretas-hojas
Cartulina pliego arte y diseño	arte-manualidades
Cartulina y papel para manualidades	arte-manualidades
Cartulinas	cuadernos-libretas-hojas
CASA Y OFICINA	-
Casa y oficina Smart	hogar-inteligente
Casas de juguete	juegos-imitacion
Cases	componentes-pc
Casitas	juegos-imitacion
Casquillos y Deslizadores	fijacion-herrajes
Catres y colchones inflables para campamento	camping
Cátsup y Mostaza	pastas-salsas
Cautines y accesorios	soldadura
CD/DVD	almacenamiento-datos
Cebollas	verduras-hortalizas
Cebollas, papas y verduras de raíz	verduras-hortalizas
Cebollino	hierbas-aromaticas
Celulares	telefonos-celulares
Celulares y Accesorios	telefonos-celulares
Celulares y Tablets	telefonos-celulares
Cemento, Grava y Arena	materiales-construccion
Centro de Carga y Breaker	electricidad
Centro de Lavado	lavado-secado
Cepillo dental	cuidado-bucal
Cepillo eléctrico	cuidado-personal-electrico
Cepillos de dientes	cuidado-bucal
Cepillos Dentales	cuidado-bucal
Cepillos para inodoro	utensilios-limpieza
Cepillos, Esponjas y Pastes	utensilios-limpieza
Cepillos, Planchas y Accesorios	cuidado-del-cabello
Cera para Pisos	limpiadores-desinfectantes
Cercas Electricas y Accesorios	seguridad-vigilancia
Cerdo	carne-de-cerdo
Cereal Dulce	cereales-avenas-barras
CEREALES	cereales-avenas-barras
Cereales y avenas	cereales-avenas-barras
Cereales y Barras	cereales-avenas-barras
Cereales y galletas para bebé	alimentacion-infantil-formulas
Cereales y granolas	cereales-avenas-barras
Cerraduras para Muebles y Auto	fijacion-herrajes
Cerraduras y Accesorios para Puertas	fijacion-herrajes
Cerrajeria	fijacion-herrajes
Cerveza	cervezas
Cervezas	cervezas
Cervezas, Vinos y Licores	cervezas-vinos-licores
Cestos de basura	utensilios-limpieza
Champagne y Espumoso	vinos
Chaquetas para hombres	ropa-masculina
Chaquetas para mujeres	ropa-femenina
Chayotes	verduras-hortalizas
Chicharrones	snacks-botanas-galletas
Chicles	dulces-chocolates
Chicles y mentas	dulces-chocolates
Chiles	verduras-hortalizas
Chinógrafos	escritura-correccion
Chocolate para hornear	harinas-mezclas-reposteria
Chocolates	dulces-chocolates
Chorizo	embutidos-jamones
CHORIZOS	embutidos-jamones
Chuletas y costilla	carne-de-cerdo
Churros	snacks-botanas-galletas
Ciclismo	ciclismo-y-bicicletas
Ciencia y experimentos	juguetes-educativos
Cigarros	tabaco
Cigarros electrónicos	tabaco
Cilindros de propano	soldadura
Cilindros y Accesorios de Gas Butano	soldadura
Cintas adhesivas	utiles-escolares-oficina
Cintas caminadoras	maquinas-cardio-gimnasio
Cintas Metricas	medicion
Cinturones para hombres	accesorios-de-moda
Circuitos Integrados	componentes-electronicos
CITRICOS	frutas-frescas
City	bloques-construccion
Clavijas	electricidad
Clavijas, convertidores y ladrones	electricidad
Clavos y Grapas	fijacion-herrajes
Clínica	equipo-medico
Cloro	limpiadores-desinfectantes
